title,id,genre,release_date,budget,revenue,vote_average
Oz: The Great and Powerful,68728,Fantasy,2013,200000000,491868548,5.7
The Amazing Spider-Man 2,102382,Action,2014,200000000,705717432,6.5
TRON: Legacy,20526,Adventure,2010,170000000,400062763,6.3
Cars 2,49013,Animation,2011,200000000,559852396,5.8
Green Lantern,44912,Adventure,2011,200000000,219851172,5.1
Toy Story 3,10193,Animation,2010,200000000,1066969703,7.6
Terminator Salvation,534,Action,2009,200000000,371353001,5.9
Furious 7,168259,Action,2015,190000000,1506249360,7.3
World War Z,72190,Action,2013,200000000,531865000,6.7
X-Men: Days of Future Past,127585,Action,2014,250000000,747862775,7.5
Star Trek Into Darkness,54138,Action,2013,190000000,467365246,7.4
Jack the Giant Slayer,81005,Action,2013,195000000,197687603,5.5
The Great Gatsby,64682,Drama,2013,105000000,351040419,7.3
Prince of Persia: The Sands of Time,9543,Adventure,2010,150000000,335154643,6.2
Pacific Rim,68726,Action,2013,180000000,407602906,6.7
Transformers: Dark of the Moon,38356,Action,2011,195000000,1123746996,6.1
Indiana Jones and the Kingdom of the Crystal Skull,217,Adventure,2008,185000000,786636033,5.7
The Good Dinosaur,105864,Adventure,2015,175000000,331926147,6.6
Brave,62177,Animation,2012,185000000,538983207,6.7
Star Trek Beyond,188927,Action,2016,185000000,343471816,6.6
WALL·E,10681,Animation,2008,180000000,521311860,7.8
Rush Hour 3,5174,Action,2007,140000000,258022233,6.1
2012,14161,Action,2009,200000000,769653595,5.6
A Christmas Carol,17979,Animation,2009,200000000,325233863,6.6
Jupiter Ascending,76757,Science Fiction,2015,176000003,183987723,5.2
The Legend of Tarzan,258489,Action,2016,180000000,356743061,5.5
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",411,Adventure,2005,180000000,748806957,6.7
X-Men: Apocalypse,246655,Science Fiction,2016,178000000,543934787,6.4
The Dark Knight,155,Drama,2008,185000000,1004558444,8.2
Up,14160,Animation,2009,175000000,735099082,7.7
Monsters vs Aliens,15512,Animation,2009,175000000,381509870,6.0
Iron Man,1726,Action,2008,140000000,585174222,7.4
Hugo,44826,Adventure,2011,170000000,185770160,7.0
Wild Wild West,8487,Action,1999,170000000,222104681,5.1
The Mummy: Tomb of the Dragon Emperor,1735,Adventure,2008,145000000,401128639,5.2
Suicide Squad,297761,Action,2016,175000000,745000000,5.9
Evan Almighty,2698,Fantasy,2007,175000000,173000000,5.3
Edge of Tomorrow,137113,Action,2014,178000000,370541256,7.6
Waterworld,9804,Adventure,1995,175000000,264218220,5.9
G.I. Joe: The Rise of Cobra,14869,Adventure,2009,175000000,302469017,5.6
Inside Out,150540,Drama,2015,175000000,857611174,8.0
The Jungle Book,278927,Family,2016,175000000,966550600,6.7
Iron Man 2,10138,Adventure,2010,200000000,623933331,6.6
Snow White and the Huntsman,58595,Adventure,2012,170000000,396600000,5.8
Maleficent,102651,Fantasy,2014,180000000,758539785,7.0
Dawn of the Planet of the Apes,119450,Science Fiction,2014,170000000,710644566,7.3
The Lovers,79698,Action,2015,27000000,0,4.8
47 Ronin,64686,Drama,2013,175000000,150962475,5.9
Captain America: The Winter Soldier,100402,Action,2014,170000000,714766572,7.6
Shrek Forever After,10192,Comedy,2010,165000000,752600867,6.0
Tomorrowland,158852,Adventure,2015,190000000,209154322,6.2
Big Hero 6,177572,Adventure,2014,165000000,652105443,7.8
Wreck-It Ralph,82690,Family,2012,165000000,471222889,7.1
The Polar Express,5255,Adventure,2004,165000000,305875730,6.4
Independence Day: Resurgence,47933,Action,2016,165000000,389681935,4.9
How to Train Your Dragon,10191,Fantasy,2010,165000000,494878759,7.5
Terminator 3: Rise of the Machines,296,Action,2003,200000000,435000000,5.9
Guardians of the Galaxy,118340,Action,2014,170000000,773328629,7.9
Interstellar,157336,Adventure,2014,165000000,675120017,8.1
Inception,27205,Action,2010,160000000,825532764,8.1
Shin Godzilla,315011,Action,2016,15000000,77000000,6.5
The Hobbit: An Unexpected Journey,49051,Adventure,2012,250000000,1021103568,7.0
The Fast and the Furious,9799,Action,2001,38000000,207283925,6.6
The Curious Case of Benjamin Button,4922,Fantasy,2008,150000000,333932083,7.3
X-Men: First Class,49538,Action,2011,160000000,353624124,7.1
The Hunger Games: Mockingjay - Part 2,131634,Action,2015,160000000,653428261,6.6
The Sorcerer's Apprentice,27022,Fantasy,2010,150000000,215283742,5.8
Poseidon,503,Adventure,2006,160000000,181674817,5.5
Alice Through the Looking Glass,241259,Fantasy,2016,170000000,299370084,6.5
Shrek the Third,810,Fantasy,2007,160000000,798958165,6.0
Warcraft,68735,Action,2016,160000000,433677183,6.3
Terminator Genisys,87101,Science Fiction,2015,155000000,440603537,5.8
The Chronicles of Narnia: The Voyage of the Dawn Treader,10140,Adventure,2010,155000000,415686217,6.2
Pearl Harbor,676,History,2001,140000000,449220945,6.6
Transformers,1858,Adventure,2007,150000000,709709780,6.6
Alexander,1966,War,2004,155000000,167298192,5.6
Harry Potter and the Order of the Phoenix,675,Adventure,2007,150000000,938212738,7.4
Harry Potter and the Goblet of Fire,674,Adventure,2005,150000000,895921036,7.5
Hancock,8960,Fantasy,2008,150000000,624029371,6.2
I Am Legend,6479,Drama,2007,150000000,585349010,6.9
Charlie and the Chocolate Factory,118,Adventure,2005,150000000,474968763,6.7
Ratatouille,2062,Animation,2007,150000000,623722818,7.5
Batman Begins,272,Action,2005,150000000,374218673,7.5
Madagascar: Escape 2 Africa,10527,Family,2008,150000000,603900354,6.2
Night at the Museum: Battle of the Smithsonian,18360,Adventure,2009,150000000,413106170,5.9
X-Men Origins: Wolverine,2080,Adventure,2009,150000000,373062864,6.2
The Matrix Revolutions,605,Adventure,2003,150000000,424988211,6.4
Frozen,109445,Animation,2013,150000000,1274219009,7.3
The Matrix Reloaded,604,Adventure,2003,150000000,738599701,6.7
Thor: The Dark World,76338,Action,2013,170000000,644571402,6.8
Mad Max: Fury Road,76341,Action,2015,150000000,378858340,7.2
Angels & Demons,13448,Thriller,2009,150000000,356613439,6.5
Thor,10195,Adventure,2011,150000000,449326618,6.6
Bolt,13053,Animation,2008,150000000,309979994,6.3
G-Force,19585,Fantasy,2009,150000000,292817841,5.1
Wrath of the Titans,57165,Adventure,2012,150000000,301000000,5.5
Dark Shadows,62213,Comedy,2012,150000000,245527149,5.7
Mission: Impossible - Rogue Nation,177677,Action,2015,150000000,682330139,7.1
The Wolfman,7978,Drama,2010,150000000,0,5.5
Bee Movie,5559,Family,2007,150000000,287594577,5.7
Kung Fu Panda 2,49444,Animation,2011,150000000,665692281,6.7
The Last Airbender,10196,Action,2010,150000000,318502923,4.7
Mission: Impossible III,956,Adventure,2006,150000000,397850012,6.5
White House Down,117251,Action,2013,150000000,205366737,6.4
Mars Needs Moms,50321,Adventure,2011,150000000,38992758,5.5
Flushed Away,11619,Adventure,2006,149000000,64459316,6.0
Pan,266647,Adventure,2015,150000000,128388320,5.9
Mr. Peabody & Sherman,82703,Animation,2014,145000000,272912430,6.7
Troy,652,Adventure,2004,175000000,497409852,6.9
Madagascar 3: Europe's Most Wanted,80321,Animation,2012,145000000,746921274,6.4
Die Another Day,36669,Adventure,2002,140000000,431971116,5.8
Ghostbusters,43074,Action,2016,144000000,229147509,5.3
Armageddon,95,Action,1998,140000000,553799566,6.4
Men in Black II,608,Action,2002,140000000,441818803,6.0
Beowulf,2310,Adventure,2007,70000000,195735876,5.5
Kung Fu Panda 3,140300,Action,2016,145000000,521170825,6.7
Mission: Impossible - Ghost Protocol,56292,Action,2011,145000000,694713380,6.8
Rise of the Guardians,81188,Fantasy,2012,145000000,306941670,7.1
Fun with Dick and Jane,7552,Comedy,2005,100000000,202026112,5.9
The Last Samurai,616,Drama,2003,140000000,456758981,7.3
Exodus: Gods and Kings,147441,Adventure,2014,140000000,268031828,5.6
Star Trek,13475,Science Fiction,2009,150000000,385680446,7.4
Spider-Man,557,Fantasy,2002,139000000,821708551,6.8
How to Train Your Dragon 2,82702,Fantasy,2014,145000000,609123048,7.6
Gods of Egypt,205584,Fantasy,2016,140000000,150680864,5.3
Stealth,10048,Action,2005,135000000,76932943,4.9
Watchmen,13183,Action,2009,130000000,185258983,7.0
Lethal Weapon 4,944,Action,1998,140000000,285444603,6.3
Hulk,1927,Drama,2003,137000000,245360480,5.3
G.I. Joe: Retaliation,72559,Adventure,2013,130000000,371876278,5.4
Sahara,7364,Action,2005,130000000,119269486,5.7
Final Fantasy: The Spirits Within,2114,Adventure,2001,137000000,85131830,5.9
Captain America: The First Avenger,1771,Action,2011,140000000,370569774,6.6
The World Is Not Enough,36643,Adventure,1999,135000000,361832400,6.0
Master and Commander: The Far Side of the World,8619,Adventure,2003,150000000,212011111,6.9
The Twilight Saga: Breaking Dawn - Part 2,50620,Adventure,2012,120000000,829000000,6.1
Happy Feet Two,65759,Animation,2011,130000000,150406466,5.8
The Incredible Hulk,1724,Science Fiction,2008,150000000,163712074,6.1
The BFG,267935,Adventure,2016,140000000,183345589,6.0
The Revenant,281957,Western,2015,135000000,532950503,7.3
Turbo,77950,Animation,2013,135000000,282570682,6.1
Rango,44896,Animation,2011,135000000,245724603,6.6
Penguins of Madagascar,270946,Family,2014,132000000,373552094,6.5
The Bourne Ultimatum,2503,Action,2007,70000000,442824138,7.3
Kung Fu Panda,9502,Adventure,2008,130000000,631744560,6.9
Ant-Man,102899,Science Fiction,2015,130000000,519311965,7.0
The Hunger Games: Catching Fire,101299,Adventure,2013,130000000,847423452,7.4
Home,228161,Fantasy,2015,135000000,368871007,6.8
War of the Worlds,74,Adventure,2005,132000000,591739379,6.2
Bad Boys II,8961,Adventure,2003,130000000,273339556,6.3
Puss in Boots,417859,Action,2011,130000000,554987477,6.4
Salt,27576,Action,2010,110000000,293329073,6.2
Noah,86834,Drama,2014,125000000,362637473,5.6
The Adventures of Tintin,17578,Adventure,2011,130000000,371940071,6.7
Harry Potter and the Prisoner of Azkaban,673,Adventure,2004,130000000,789804554,7.7
Australia,6972,Drama,2008,130000000,49554002,6.3
After Earth,82700,Science Fiction,2013,130000000,243843127,5.0
Dinosaur,10567,Animation,2000,127500000,354248063,6.2
Night at the Museum: Secret of the Tomb,181533,Adventure,2014,127000000,349424282,6.1
Megamind,38055,Animation,2010,130000000,321887208,6.7
Harry Potter and the Philosopher's Stone,671,Adventure,2001,125000000,976475550,7.5
R.I.P.D.,49524,Fantasy,2013,130000000,61648500,5.4
Pirates of the Caribbean: The Curse of the Black Pearl,22,Adventure,2003,140000000,655011224,7.5
The Hunger Games: Mockingjay - Part 1,131631,Science Fiction,2014,125000000,752100229,6.6
The Da Vinci Code,591,Thriller,2006,125000000,767820459,6.5
Rio 2,172385,Animation,2014,103000000,500188435,6.3
X2,36658,Adventure,2003,110000000,407711549,6.8
Fast Five,51497,Action,2011,125000000,626137675,7.1
Sherlock Holmes: A Game of Shadows,58574,Adventure,2011,125000000,334615000,7.0
Clash of the Titans,18823,Adventure,2010,125000000,232713139,5.6
Total Recall,861,Action,1990,65000000,261317921,7.1
The 13th Warrior,1911,Adventure,1999,160000000,61698899,6.4
The Bourne Legacy,49040,Action,2012,130000000,276572938,6.0
Batman & Robin,415,Action,1997,125000000,238207122,4.2
How the Grinch Stole Christmas,8871,Family,2000,123000000,345141403,6.2
The Day After Tomorrow,435,Action,2004,125000000,544272402,6.2
Mission: Impossible II,955,Adventure,2000,125000000,546388105,5.9
The Perfect Storm,2133,Drama,2000,120000000,325756637,6.2
Fantastic 4: Rise of the Silver Surfer,1979,Adventure,2007,130000000,289047763,5.4
Life of Pi,87827,Adventure,2012,120000000,609016565,7.2
Ghost Rider,1250,Thriller,2007,110000000,228738393,5.2
Jason Bourne,324668,Action,2016,120000000,415484914,5.9
Charlie's Angels: Full Throttle,9471,Action,2003,120000000,259175788,5.2
Prometheus,70981,Science Fiction,2012,130000000,403170142,6.3
Stuart Little 2,10996,Family,2002,120000000,169956806,5.4
Elysium,68724,Science Fiction,2013,115000000,286140700,6.4
The Chronicles of Riddick,2789,Action,2004,105000000,115772733,6.3
RoboCop,97020,Action,2014,120000000,242688965,5.7
Speed Racer,7459,Action,2008,120000000,93945766,5.7
How Do You Know,42888,Comedy,2010,120000000,48668907,4.9
Knight and Day,37834,Action,2010,117000000,261930431,5.9
Oblivion,75612,Action,2013,120000000,286168572,6.4
Star Wars: Episode III - Revenge of the Sith,1895,Science Fiction,2005,113000000,850000000,7.1
Star Wars: Episode II - Attack of the Clones,1894,Adventure,2002,120000000,649398328,6.4
"Monsters, Inc.",585,Animation,2001,115000000,562816256,7.5
The Wolverine,76170,Action,2013,120000000,415440673,6.3
Star Wars: Episode I - The Phantom Menace,1893,Adventure,1999,115000000,924317558,6.3
The Croods,49519,Adventure,2013,135000000,585178928,6.8
Asterix at the Olympic Games,2395,Fantasy,2008,97250400,132900000,5.0
Windtalkers,12100,Drama,2002,115000000,77628265,5.8
The Huntsman: Winter's War,290595,Action,2016,115000000,164602163,6.0
Teenage Mutant Ninja Turtles,98566,Science Fiction,2014,125000000,477200000,5.8
Gravity,49047,Science Fiction,2013,105000000,716392705,7.3
Dante's Peak,9619,Action,1997,116000000,178127760,5.7
Teenage Mutant Ninja Turtles: Out of the Shadows,308531,Fantasy,2016,135000000,245623848,5.8
Fantastic Four,166424,Action,2015,120000000,167977596,4.4
Night at the Museum,1593,Action,2006,110000000,574480841,6.3
San Andreas,254128,Action,2015,110000000,470490832,6.0
Tomorrow Never Dies,714,Adventure,1997,110000000,333011068,6.0
The Patriot,2024,Drama,2000,110000000,215294342,6.8
Ocean's Twelve,163,Thriller,2004,110000000,362744280,6.4
Mr. & Mrs. Smith,787,Action,2005,110000000,478207520,6.5
Insurgent,262500,Adventure,2015,110000000,295238201,6.2
The Aviator,2567,Drama,2004,116000000,102000000,7.0
Gulliver's Travels,38745,Comedy,2010,112000000,237382724,4.9
The Green Hornet,40805,Action,2011,120000000,227817248,5.5
300: Rise of an Empire,53182,Action,2014,110000000,337580051,6.1
The Smurfs,41513,Animation,2011,110000000,563749323,5.5
Home on the Range,13700,Animation,2004,110000000,103951461,5.7
Allegiant,262504,Adventure,2016,110000000,179246868,5.9
Real Steel,39254,Action,2011,110000000,299268508,6.6
The Smurfs 2,77931,Fantasy,2013,105000000,347434178,5.5
Speed 2: Cruise Control,1639,Action,1997,160000000,164508066,4.1
Ender's Game,80274,Science Fiction,2013,110000000,125537191,6.6
Live Free or Die Hard,1571,Action,2007,110000000,383531464,6.4
The Lord of the Rings: The Fellowship of the Ring,120,Adventure,2001,93000000,871368364,8.0
Around the World in 80 Days,10204,Action,2004,110000000,72178895,5.7
Ali,8489,Drama,2001,107000000,87713825,6.7
The Cat in the Hat,10588,Comedy,2003,0,0,4.9
"I, Robot",2048,Action,2004,120000000,347234916,6.7
Kingdom of Heaven,1495,Drama,2005,130000000,211643158,6.6
Stuart Little,10137,Animation,1999,133000000,300135367,5.8
The Princess and the Frog,10198,Romance,2009,105000000,267045765,6.7
The Martian,286217,Drama,2015,108000000,630161890,7.6
The Island,1635,Action,2005,126000000,162949164,6.5
Town & Country,24113,Comedy,2001,90000000,10372291,3.7
Gone in Sixty Seconds,9679,Action,2000,90000000,237202299,6.1
Gladiator,98,Action,2000,103000000,457640427,7.9
Minority Report,180,Action,2002,102000000,358372926,7.1
Harry Potter and the Chamber of Secrets,672,Adventure,2002,100000000,876688482,7.4
Casino Royale,36557,Adventure,2006,150000000,599045960,7.3
Planet of the Apes,869,Thriller,2001,100000000,362211740,5.6
Terminator 2: Judgment Day,280,Action,1991,100000000,520000000,7.7
Public Enemies,11322,History,2009,80000000,214104620,6.5
American Gangster,4982,Drama,2007,100000000,266465037,7.4
True Lies,36955,Action,1994,115000000,378882411,6.8
The Taking of Pelham 1 2 3,18487,Thriller,2009,100000000,150166126,6.2
Little Fockers,39451,Comedy,2010,100000000,310650585,5.4
The Other Guys,27581,Action,2010,100000000,170432927,6.1
Eraser,9268,Action,1996,100000000,242295562,5.6
Django Unchained,68718,Drama,2012,100000000,425368238,7.8
The Hunchback of Notre Dame,10545,Drama,1996,100000000,100138851,6.8
The Emperor's New Groove,11688,Adventure,2000,100000000,169327687,7.2
The Expendables 2,76163,Action,2012,100000000,312573423,6.1
National Treasure,2059,Adventure,2004,100000000,347451894,6.4
Eragon,2486,Fantasy,2006,100000000,249288105,4.9
Where the Wild Things Are,16523,Family,2009,100000000,100086793,6.4
Epic,116711,Animation,2013,100000000,268426634,6.4
The Tourist,37710,Action,2010,100000000,278731369,6.0
End of Days,9946,Action,1999,100000000,211989043,5.5
Blood Diamond,1372,Drama,2006,100000000,170877916,7.3
The Wolf of Wall Street,106646,Crime,2013,100000000,392000694,7.9
Batman Forever,414,Action,1995,100000000,336529144,5.2
Starship Troopers,563,Adventure,1997,105000000,121214377,6.7
Cloud Atlas,83542,Drama,2012,102000000,130482868,6.6
Legend of the Guardians: The Owls of Ga'Hoole,41216,Animation,2010,80000000,140073390,6.5
Catwoman,314,Action,2004,100000000,82102379,4.2
Hercules,184315,Action,2014,100000000,243400000,5.6
Treasure Planet,9016,Adventure,2002,140000000,109578115,7.2
Land of the Lost,18162,Adventure,2009,100000000,68688831,5.3
The Expendables 3,138103,Action,2014,90000000,206172544,6.1
Point Break,257088,Action,2015,105000000,133718711,5.5
Son of the Mask,10214,Fantasy,2005,84000000,0,3.6
In the Heart of the Sea,205775,Thriller,2015,100000000,93820758,6.5
The Adventures of Pluto Nash,11692,Action,2002,100000000,7103973,4.4
Green Zone,22972,War,2010,100000000,94882889,6.4
The Peanuts Movie,227973,Animation,2015,99000000,246233113,6.5
The Spanish Prisoner,29193,Crime,1997,10000000,13835130,7.1
The Mummy Returns,1734,Adventure,2001,98000000,433013274,6.0
Gangs of New York,3131,Drama,2002,100000000,193772504,7.1
The Flowers of War,76758,Drama,2011,94000000,95311434,7.1
Surf's Up,9408,Animation,2007,85000000,149044513,5.9
The Stepford Wives,9890,Action,2004,90000000,102000000,5.4
Black Hawk Down,855,Action,2001,92000000,172989651,7.2
The Campaign,77953,Comedy,2012,0,104907746,5.6
The Fifth Element,18,Adventure,1997,90000000,263920180,7.3
Sex and the City 2,37786,Comedy,2010,100000000,288347692,5.4
The Road to El Dorado,10501,Adventure,2000,95000000,76432727,7.0
Ice Age: Continental Drift,57800,Animation,2012,95000000,877244782,6.2
Cinderella,150689,Romance,2015,95000000,543514353,6.7
The Lovely Bones,7980,Fantasy,2009,65000000,93525586,6.6
Finding Nemo,12,Animation,2003,94000000,940335536,7.6
The Lord of the Rings: The Return of the King,122,Adventure,2003,94000000,1118888979,8.1
The Lord of the Rings: The Two Towers,121,Adventure,2002,79000000,926287400,8.0
Seventh Son,68737,Adventure,2014,95000000,114178613,5.2
Lara Croft: Tomb Raider,1995,Adventure,2001,115000000,274703340,5.7
Transcendence,157353,Thriller,2014,100000000,103039258,5.9
Jurassic Park III,331,Adventure,2001,93000000,368780809,5.7
Rise of the Planet of the Apes,61791,Thriller,2011,93000000,482860185,7.0
The Spiderwick Chronicles,8204,Adventure,2008,90000000,162839667,6.3
A Good Day to Die Hard,47964,Action,2013,92000000,304654182,5.2
The Alamo,10733,Western,2004,145000000,25819961,5.8
The Incredibles,9806,Action,2004,92000000,631442092,7.4
Cutthroat Island,1408,Action,1995,98000000,10017322,5.7
Percy Jackson & the Olympians: The Lightning Thief,32657,Adventure,2010,95000000,226497209,6.0
Men in Black,607,Action,1997,90000000,589390539,6.9
Toy Story 2,863,Animation,1999,90000000,497366869,7.3
Unstoppable,44048,Action,2010,100000000,167805466,6.3
Rush Hour 2,5175,Action,2001,90000000,347325802,6.4
What Lies Beneath,2655,Drama,2000,100000000,155464351,6.3
Cloudy with a Chance of Meatballs,22794,Animation,2009,100000000,242988466,6.5
Ice Age: Dawn of the Dinosaurs,8355,Animation,2009,90000000,886686817,6.5
The Secret Life of Walter Mitty,116745,Adventure,2013,90000000,188133322,7.0
Charlie's Angels,4327,Action,2000,92000000,264105545,5.6
The Departed,1422,Drama,2006,90000000,289847354,7.9
Mulan,10674,Animation,1998,90000000,304320254,7.6
Tropic Thunder,7446,Action,2008,92000000,188072649,6.5
The Girl with the Dragon Tattoo,65754,Thriller,2011,90000000,232617430,7.2
Die Hard: With a Vengeance,1572,Action,1995,90000000,366101666,6.9
Sherlock Holmes,10528,Action,2009,90000000,524028679,7.0
Ben-Hur,271969,Drama,2016,100000000,94061311,5.3
Atlantis: The Lost Empire,10865,Animation,2001,120000000,186053725,6.7
Alvin and the Chipmunks: The Road Chip,258509,Adventure,2015,0,233755553,5.8
Valkyrie,2253,Drama,2008,75000000,200276000,6.7
You Don't Mess with the Zohan,10661,Comedy,2008,90000000,201596308,5.5
Pixels,257344,Action,2015,88000000,243637091,5.6
A.I. Artificial Intelligence,644,Drama,2001,100000000,235926552,6.8
The Haunted Mansion,10756,Thriller,2003,90000000,182290266,5.2
Contact,686,Drama,1997,90000000,171120329,7.2
Hollow Man,9383,Action,2000,95000000,190213455,5.6
The Interpreter,179,Crime,2005,80000000,162944923,6.2
Percy Jackson: Sea of Monsters,76285,Adventure,2013,90000000,174578751,5.9
Lara Croft Tomb Raider: The Cradle of Life,1996,Action,2003,95000000,156505388,5.5
Now You See Me 2,291805,Action,2016,90000000,334901337,6.7
The Saint,10003,Thriller,1997,68000000,118063304,5.9
Spy Game,1535,Action,2001,92000000,143049560,6.8
Mission to Mars,2067,Science Fiction,2000,90000000,60874615,5.7
Rio,46195,Animation,2011,90000000,484635760,6.5
Bicentennial Man,2277,Comedy,1999,100000000,93700000,6.9
Volcano,10357,Science Fiction,1997,90000000,0,5.2
The Devil's Own,4477,Crime,1997,90000000,140807547,5.9
K-19: The Widowmaker,8665,Drama,2002,100000000,35168966,6.1
Conan the Barbarian,9387,Adventure,1982,20000000,79114085,6.6
Cinderella Man,921,Romance,2005,88000000,108539911,7.3
The Nutcracker: The Untold Story,49852,Fantasy,2010,90000000,16178959,5.4
Seabiscuit,4464,Drama,2003,87000000,148336445,6.7
Twister,664,Action,1996,92000000,494471524,6.1
Cast Away,8358,Adventure,2000,90000000,429632142,7.5
Happy Feet,9836,Animation,2006,100000000,384335608,5.9
The Bourne Supremacy,2502,Action,2004,75000000,288500217,7.2
Air Force One,9772,Action,1997,85000000,315156409,6.2
Ocean's Eleven,161,Thriller,2001,85000000,450717150,7.2
The Three Musketeers,52451,Adventure,2011,75000000,132274484,5.6
Hotel Transylvania,76492,Animation,2012,85000000,358375603,6.8
Enchanted,4523,Comedy,2007,85000000,340487652,6.6
Safe House,59961,Action,2012,85000000,208076205,6.3
102 Dalmatians,10481,Comedy,2000,85000000,183611771,5.1
Tower Heist,59108,Action,2011,75000000,152930623,5.8
The Holiday,1581,Comedy,2006,85000000,194168700,6.7
Enemy of the State,9798,Action,1998,90000000,250649836,6.7
It's Complicated,22897,Comedy,2009,85000000,219103655,6.2
Ocean's Thirteen,298,Crime,2007,85000000,311312624,6.5
Open Season,7484,Adventure,2006,85000000,197309027,6.1
Divergent,157350,Adventure,2014,85000000,288747895,6.9
Enemy at the Gates,853,War,2001,68000000,96976270,7.2
The Rundown,10159,Adventure,2003,85000000,80916492,6.4
Last Action Hero,9593,Adventure,1993,85000000,137298489,6.1
Memoirs of a Geisha,1904,Drama,2005,85000000,162242962,7.3
The Fast and the Furious: Tokyo Drift,9615,Action,2006,85000000,158468292,6.1
Arthur Christmas,51052,Drama,2011,0,0,6.7
Meet Joe Black,297,Fantasy,1998,90000000,142940100,6.9
Collateral Damage,9884,Action,2002,85000000,78382433,5.5
All That Jazz,16858,Drama,1979,0,37823676,7.3
Mirror Mirror,62764,Adventure,2012,85000000,183018522,5.5
Scott Pilgrim vs. the World,22538,Action,2010,60000000,47664559,7.2
The Core,9341,Action,2003,60000000,74208267,5.4
Nutty Professor II: The Klumps,12107,Fantasy,2000,84000000,123307945,4.7
Scooby-Doo,9637,Mystery,2002,84000000,275650703,5.4
Dredd,49049,Action,2012,50000000,41037742,6.6
Click,9339,Comedy,2006,82500000,237681299,6.0
Creepshow,16281,Horror,1982,8000000,21028755,6.7
Cats & Dogs 2 : The Revenge of Kitty Galore,39691,Comedy,2010,85000000,112483764,4.9
Jumper,8247,Adventure,2008,85000000,222231186,5.9
Hellboy II: The Golden Army,11253,Adventure,2008,85000000,160388063,6.5
Zodiac,1949,Crime,2007,65000000,84785914,7.3
The 6th Day,8452,Science Fiction,2000,82000000,96085477,5.7
Bruce Almighty,310,Fantasy,2003,80000000,484572835,6.4
The Expendables,27578,Thriller,2010,80000000,274470394,6.0
Mission: Impossible,954,Adventure,1996,80000000,457696359,6.7
The Hunger Games,70160,Science Fiction,2012,75000000,691210692,6.9
The Hangover Part II,45243,Comedy,2011,80000000,254455986,6.2
Batman Returns,364,Action,1992,80000000,280000000,6.6
Over the Hedge,7518,Comedy,2006,80000000,343397247,6.3
Lilo & Stitch,11544,Animation,2002,80000000,145771527,7.1
Charlotte's Web,9986,Comedy,2006,85000000,144000000,5.8
Deep Impact,8656,Action,1998,75000000,140464664,5.9
RED 2,146216,Action,2013,84000000,0,6.4
The Longest Yard,9291,Comedy,2005,82000000,190320568,6.2
Alvin and the Chipmunks: Chipwrecked,55301,Comedy,2011,75000000,342695435,5.4
Grown Ups 2,109418,Comedy,2013,80000000,246984278,5.8
Get Smart,11665,Action,2008,80000000,230685453,6.0
